tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams
1,1,200,DoubleDunk-v0,-4.0,2.0,-0.241333333333,0.95104526749,4,751,679
2,1,200,Freeway-v0,0.0,2.0,0.0692194403535,0.0327278677794,4,751,647
3,1,200,Alien-v0,0.0,180.0,56.0432766615,0.485278684145,3,751,612
4,1,200,Atlantis-v0,0.0,800.0,15.1960784314,0.0353576615832,6,750,590
5,1,200,FishingDerby-v0,-6.0,0.0,-5.9813559322,0.00385017786148,11,750,601
6,1,200,Gravitar-v0,0.0,0.0,0.0,0.0,4,750,596
7,1,200,BankHeist-v0,0.0,10.0,0.0335570469799,0.00298284862043,6,750,588
8,1,200,Frostbite-v0,0.0,40.0,9.37074829932,0.209939531368,3,751,601
9,1,200,Boxing-v0,-21.0,2.0,-4.14642262895,0.898053758334,9,751,587
10,1,200,Alien-v0,0.0,160.0,59.3867120954,0.528274654552,9,750,599
11,1,200,Atlantis-v0,0.0,1000.0,10.8514190317,0.0215470228158,4,750,578
12,1,200,Boxing-v0,-19.0,3.0,-2.89619377163,0.901662107073,6,750,561
13,1,200,Gravitar-v0,0.0,0.0,0.0,0.0,4,751,582
14,1,200,DoubleDunk-v0,-2.0,0.0,-0.106529209622,0.841542573501,6,750,583
15,1,200,Frostbite-v0,0.0,40.0,7.28987993139,0.163712597675,3,750,566
16,1,200,FishingDerby-v0,-6.0,10.0,-5.91519434629,0.00804868472713,25,751,561
17,1,200,Freeway-v0,0.0,2.0,0.110516934046,0.0507031095266,6,751,572
18,1,200,BankHeist-v0,0.0,10.0,0.122377622378,0.010878010878,6,750,565
19,1,200,Freeway-v0,0.0,2.0,0.070796460177,0.0330383480826,6,750,569
20,1,200,Atlantis-v0,0.0,400.0,9.84182776801,0.03280609256,10,750,560
21,1,200,Gravitar-v0,0.0,0.0,0.0,0.0,6,751,562
22,1,200,DoubleDunk-v0,-2.0,0.0,-0.110320284698,0.839857651246,6,750,557
23,1,200,Alien-v0,0.0,160.0,69.7845601436,0.595663774187,3,750,555
24,1,200,FishingDerby-v0,-6.0,0.0,-5.94594594595,0.00800800800801,11,750,544
25,1,200,BankHeist-v0,0.0,20.0,0.202205882353,0.016339869281,16,750,542
26,1,200,Boxing-v0,-20.0,2.0,-3.22878228782,0.884782070961,11,751,545
27,1,200,Frostbite-v0,0.0,40.0,8.22018348624,0.183893985729,6,750,539
28,1,200,Freeway-v0,0.0,2.0,0.0630797773655,0.0280354566069,10,750,543
