tpgGen,hoursElapsed,envs,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
1,0.08399455202950372,Boxing-v0,0.0,1,0.5263644067796609,6,357,498,401
2,0.18012623012065887,Atlantis-v0/Boxing-v0,0.0,0.580327868852459,0.006468185793014462,15,459,562,449
3,0.3089272106356091,Asteroids-v0/Atlantis-v0/Boxing-v0,0.0,0.15853658536585366,0.005396562615340277,6,610,553,438
4,0.5733102200428645,Asteroids-v0/Atlantis-v0/BankHeist-v0/Boxing-v0,0.0,0.06362545018007204,0.00016892734196451397,10,1134,573,436
5,0.7736030956771639,Asteroids-v0/Atlantis-v0/BankHeist-v0/Centipede-v0,0.0,0.15445719329214475,0.0006831025927055091,10,1534,575,455
6,1.0585846785042021,Asteroids-v0/BankHeist-v0/BattleZone-v0/Centipede-v0,0.0,0.4246411483253589,0.0035530190504477854,6,1774,554,449
7,1.3372716670566136,BankHeist-v0/BattleZone-v0/Boxing-v0/Centipede-v0,0.0,0.375,0.012428212583171873,11,1969,555,436
8,1.525210016237365,Atlantis-v0/BattleZone-v0/Boxing-v0/Centipede-v0,0.0,0.42545446849935453,0.005473688756826443,6,1666,559,438
9,1.6970740564001932,Asteroids-v0/Atlantis-v0/BattleZone-v0/Boxing-v0,0.0,0.30604982206405695,0.005693735565503556,6,1666,565,436
10,1.9133837338950899,Asteroids-v0/Atlantis-v0/BankHeist-v0/Boxing-v0,0.0,0.14285714285714288,0.0025501678431948255,6,2407,568,451
11,2.2555620533890193,Asteroids-v0/Atlantis-v0/BankHeist-v0/Bowling-v0,0.0,0.0,0.0,16,3048,570,439
12,2.5486476433939402,Asteroids-v0/BankHeist-v0/Bowling-v0/Centipede-v0,0.0,0.019082170161306852,4.346735799842108e-05,16,3048,577,453
13,2.836157121857007,Alien-v0/BankHeist-v0/Bowling-v0/Centipede-v0,0.0,0.036155690831949826,0.00012193788298732159,20,3677,568,435
14,3.0876713846127193,Alien-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.09090909090909091,0.0013269202903702202,24,3362,582,452
15,3.2454287628332774,Alien-v0/Atlantis-v0/Boxing-v0/Centipede-v0,0.0,0.37162162162162166,0.007643756421888321,15,4053,574,439
16,3.4353916497362986,Alien-v0/Atlantis-v0/BattleZone-v0/Boxing-v0,0.0,0.3333333333333333,0.0177446856929805,6,4414,574,434
17,3.6069071635272767,Asteroids-v0/Atlantis-v0/BattleZone-v0/Boxing-v0,0.0,0.17777777777777776,0.015432390637575002,18,4463,598,435
18,3.8231687829229566,Asteroids-v0/Atlantis-v0/BankHeist-v0/BattleZone-v0,0.0,0.25,0.005829330513643546,19,4146,591,452
19,4.030457565718227,Alien-v0/Asteroids-v0/BankHeist-v0/BattleZone-v0,0.0,0.28888888888888886,0.022783692721291056,19,5024,575,442
20,4.221530541578929,Alien-v0/Asteroids-v0/BankHeist-v0/Boxing-v0,0.0,0.4285714285714286,0.048071529932917606,33,5563,574,431
21,4.410792530377706,Alien-v0/BankHeist-v0/Boxing-v0/Centipede-v0,0.0,0.4285714285714286,0.0650534671216524,10,5865,572,445
22,4.737414942052629,Alien-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.24,0.0007026259517009175,21,5546,577,429
23,5.0547296331988445,BattleZone-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.3023255813953488,0.001728951639506201,21,5546,598,440
24,5.3192634909682805,Alien-v0/BattleZone-v0/Bowling-v0/Centipede-v0,0.0,0.27173584416706265,0.0017723441076802195,14,6653,591,453
25,5.553300887743632,Alien-v0/Asteroids-v0/BattleZone-v0/Bowling-v0,0.0,0.20202020202020204,0.0026556001471999195,16,6679,578,441
26,5.709680800967746,Alien-v0/Asteroids-v0/BattleZone-v0/Centipede-v0,0.0,0.29787234042553196,0.04187235131227585,11,6888,577,426
27,5.864489757021269,Alien-v0/Asteroids-v0/Boxing-v0/Centipede-v0,0.0,0.28075709779179814,0.06747979361560179,11,6934,588,432
28,6.153321477373441,Asteroids-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.12857976527546633,0.0027877945180146907,21,5546,607,451
29,6.4477390877405805,Atlantis-v0/Bowling-v0/Boxing-v0/Centipede-v0,0.0,0.4166666666666667,0.001373096172276628,15,7877,592,443
30,6.680249203840892,Asteroids-v0/Atlantis-v0/Bowling-v0/Boxing-v0,0.0,0.20884146341463417,0.0016995100980889168,15,7920,589,442
31,6.919433554344707,Asteroids-v0/Atlantis-v0/BattleZone-v0/Bowling-v0,0.0,0.23323170731707318,0.002862935241434539,26,8486,590,429
32,7.099209441079034,Asteroids-v0/Atlantis-v0/BattleZone-v0/Boxing-v0,0.0,0.23255813953488372,0.01464007185465283,26,8486,601,429
33,7.324428707692358,Asteroids-v0/BankHeist-v0/BattleZone-v0/Boxing-v0,0.0,0.28,0.025815694510885348,16,9016,619,448
34,7.540878814988666,Atlantis-v0/BankHeist-v0/BattleZone-v0/Boxing-v0,0.0,0.48000000000000004,0.020998631040920455,20,8418,600,444
35,7.7162114061249625,Asteroids-v0/Atlantis-v0/BankHeist-v0/Boxing-v0,0.0,0.2711864406779661,0.02952562203280977,58,8685,594,435
36,7.862994703650474,Alien-v0/Asteroids-v0/Atlantis-v0/BankHeist-v0,0.0,0.3866799204771372,0.036352842825373384,58,8685,596,432
37,8.146709545254707,Alien-v0/Asteroids-v0/Atlantis-v0/Bowling-v0,0.0,0.536779324055666,0.01311944463805176,24,8829,596,435
38,8.389671506947941,Alien-v0/Asteroids-v0/BattleZone-v0/Bowling-v0,0.0,0.42994746059544664,0.022152971028805302,33,10283,591,422
39,8.646243153744274,Alien-v0/BattleZone-v0/Bowling-v0/Boxing-v0,0.0,0.478395061728395,0.05423600443612548,24,8829,595,438
