tpgGen,hoursElapsed,envName,tpgMin,tpgMax,tpgAvg,eliteSize,eliteUid
0,0.28847001830736796,Alien-v0,0.0,926.6666666666666,134.18808300019006,25,60112
1,0.33655067450470394,Alien-v0,0.0,926.6666666666666,267.87346221441095,25,60112
1,0.5230336072047551,BattleZone-v0,0.0,46333.333333333336,3123.608670181604,24,164862
2,0.5916642828120126,Alien-v0,0.0,926.6666666666666,266.9158878504676,25,60112
2,0.6848750855525335,BattleZone-v0,0.0,46333.333333333336,5334.8909657320855,24,164862
2,0.8592358148760266,Boxing-v0,-100.0,46.666666666666664,-32.79439252336448,22,154554
3,0.9313808092806074,Alien-v0,0.0,926.6666666666666,208.25358851674633,25,60112
3,1.0604354922638999,BattleZone-v0,0.0,46333.333333333336,6934.609250398728,24,164862
3,1.1763051874770059,Boxing-v0,-100.0,46.666666666666664,-27.2751196172249,22,154554
3,1.238338094022539,Atlantis-v0,1500.0,69666.66666666667,2259.409888357257,113,150625
4,1.415806731581688,BattleZone-v0,0.0,46333.333333333336,5734.567901234571,24,164862
4,1.5443513160281712,Boxing-v0,-100.0,46.666666666666664,-27.969135802469122,22,154554
4,1.5936691600746578,Atlantis-v0,1500.0,69666.66666666667,3644.212962962963,113,150625
4,1.8317441671424441,BankHeist-v0,0.0,126.66666666666667,3.6033950617283947,24,490
5,1.9624916486607658,Boxing-v0,-100.0,46.666666666666664,-29.12214342001576,22,154554
5,2.0065351019303006,Atlantis-v0,1500.0,69666.66666666667,4046.414499605988,113,150625
5,2.162732004788187,BankHeist-v0,0.0,136.66666666666666,6.887312844759655,10,770
5,2.5288197753164505,Bowling-v0,0.0,127.33333333333333,9.60756501182033,89,96691
6,2.5936182979742686,Atlantis-v0,1500.0,69666.66666666667,5768.622848200313,113,150625
6,2.743034960495101,BankHeist-v0,0.0,156.66666666666666,11.627543035993739,42,79749
6,2.977576287653711,Bowling-v0,0.0,127.33333333333333,13.205007824726136,89,96691
6,3.0794840061664583,Centipede-v0,141.0,15295.666666666666,2203.845852895148,14,885
7,3.252508942749765,BankHeist-v0,0.0,170.0,14.87864077669903,9,81562
7,3.462756253480911,Bowling-v0,0.0,127.33333333333333,16.918284789644016,89,96691
7,3.5244498073392445,Centipede-v0,150.0,15949.666666666666,2499.1893203883524,6,38072
